38 Provinsi,,,,,,,,,,,,,
,Luas Panen Jagung Pipilan Menurut Provinsi (Bulanan) (Hektar),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,588.94,815.39,439.49,592.79,612.96,990.72,653.65,846.1,903.5,754.81,554.32,823.9,8576.58
SUMATERA UTARA,26623.8,15144.7,11716.98,10178.53,13343.88,27214.02,28646.64,18069.89,8956.17,10581.86,15099.03,25100.94,210676.46
SUMATERA BARAT,8730.62,7896.97,5562.64,5859.64,7947.72,9926.14,4486.61,6354.79,8374.73,7923.91,5938.82,8085.28,87087.84
RIAU,87.37,33.26,15.9,18.29,51.85,51.43,68.68,68.64,107.42,264.33,56.23,85.9,909.29
JAMBI,261.64,145.91,335.1,157.65,339.85,523.45,462.14,302.92,308.39,552.51,584.76,369.78,4344.1
SUMATERA SELATAN,3287.42,3868.8,3544.55,2483.06,1952.33,3406,3190.42,4902.56,13833.97,12205.86,5485.16,3995.75,62155.86
BENGKULU,1310.7,650.99,535.36,929.12,827.43,1036.93,641.56,1008.53,832.8,1096.02,827.37,850.64,10547.45
LAMPUNG,12897.68,19568.71,21753.39,7907.86,12617.96,21801.45,27827.48,13670.82,18666.49,14428.9,7222.8,14106.61,192470.15
KEP. BANGKA BELITUNG,22.01,0,0,0,362.2,189.2,41.3,107.89,136.22,111.1,18.54,31.25,1019.72
KEP. RIAU,0,0.03,0.37,0.37,0.49,0,0,1.61,1.57,1.21,0,0.53,6.17
DKI JAKARTA,0,0,0,0,0,0,0,0,0,0,0,0,0
JAWA BARAT,9812.91,14279.48,16324.93,6844.47,5499.19,12100.54,15125.89,9009.27,5495.4,5202.7,6251.79,6135.77,112082.34
JAWA TENGAH,63339.11,50479.45,23566.55,11706.83,31677.42,52687.05,38488.78,44911.26,46591.97,41200.19,33054.21,34363.65,472066.47
DI YOGYAKARTA,4796.79,16254.54,1158.57,0,2590.25,6056.66,1849.7,3014,1194.71,2328.18,2197.59,1585.76,43026.76
JAWA TIMUR,52579.42,128616.62,80959.38,30804.02,37826.91,75641.06,59735.08,63953.74,55983.47,61125.91,73524.56,67153.83,787904
BANTEN,293.39,217,154.27,166.43,312.72,24.59,111.79,138.4,72,260.38,330.44,634.02,2715.42
BALI,462.17,692.62,1802.43,347.79,116.52,308.84,261.36,263.06,204.88,1459.88,850.9,602.92,7373.34
NUSA TENGGARA BARAT,2842.72,5538.59,24329.86,56932.84,22597.77,6848.36,10834.43,8728.86,13101.39,8281.22,8263.37,7028.03,175327.43
NUSA TENGGARA TIMUR,2431.09,8871.4,31857.73,39820.27,8493.22,2945.62,7771.65,6670.93,2891.13,1455.65,827.03,1739.42,115775.13
KALIMANTAN BARAT,2357,2159.73,1212.81,1259.57,2358.96,3818.22,3509.42,3672.11,4882.35,3498.29,3023.44,2556.53,34308.41
KALIMANTAN TENGAH,663.63,888.52,672.15,844.73,973.22,717.19,760.89,880.02,1383.13,874.73,616.51,561.8,9836.53
KALIMANTAN SELATAN,2030.86,5379.04,2717.93,611.39,1020.31,3782.07,3236.11,2794.76,623.95,424.99,1679.6,1577.87,25878.88
KALIMANTAN TIMUR,197.43,127.88,158.31,168.84,214.16,297.18,117.07,221.02,293.73,110.44,139.04,174.03,2219.12
KALIMANTAN UTARA,105.52,78.08,2.07,9.44,29.11,26.44,396.5,49.16,210.44,106.33,19.8,43.05,1075.95
SULAWESI UTARA,2304.43,3055.94,2746.8,3537.41,1842.2,1642.64,1971.26,2248.77,2283.35,2054.1,1823.22,1541.51,27051.63
SULAWESI TENGAH,1742.23,1701.88,2051.74,1439.14,1525.76,1470.3,1288.85,1542.85,1357.72,1427.1,1122.71,1390.17,18060.44
SULAWESI SELATAN,9114.83,27596.26,33454.15,20308.02,7003.29,17057.76,25276.82,25600.3,15709.05,7174.94,9979.56,8841.98,207116.97
SULAWESI TENGGARA,1168.7,2099.24,2480.14,1114.32,1376.18,732.54,1120.76,1055.86,592,463.86,1438.44,1052.11,14694.14
GORONTALO,4072.61,14968.52,20353.45,26001.1,6914.91,6450.77,8616.86,10144.84,11755.95,14303.64,2342.5,4971.7,130896.86
SULAWESI BARAT,491.53,447.3,268.73,303.59,566.7,377.42,282.67,257.33,505.85,403.1,410.12,463.91,4778.25
MALUKU,158.3,160.43,874.18,133.93,198.39,26.06,567.44,392.12,0,34.68,69.14,59.98,2674.64
MALUKU UTARA,160.8,154.66,90.33,45.99,96.51,99.3,117.19,61.61,136.06,80,137.21,181.09,1360.73
PAPUA BARAT,24.84,49.05,4.48,60.24,34.22,62.25,2.36,13.89,8.94,9.55,15.36,14.04,299.2
PAPUA BARAT DAYA,43.13,36.39,35.46,56.34,42.43,28.74,29.24,43.86,41.7,29.23,21.18,35.48,443.19
PAPUA,6.06,41.82,71.93,8.87,105.63,72.05,2.91,37.49,17.25,6.65,104.83,26.53,502.01
PAPUA SELATAN,12.54,43.49,11.29,110,6.44,3.22,0,332.98,0,0,21.43,9.12,550.52
PAPUA TENGAH,149.05,85.36,48.13,139.62,82.5,32.31,32.31,56.55,118.76,112.62,45.63,39.83,942.67
PAPUA PEGUNUNGAN,0,0,0,0,10.55,0,21.1,0,0,10.55,0,1.32,43.52
INDONESIA,215171.25,332148.05,291311.57,230902.45,171572.1,258448.51,247546.9,231428.8,217576.44,200359.4,184096.62,196236.07,2776798.17
