38 Provinsi,,,,,,,,,,,,,
,Luas Panen Padi Menurut Provinsi (Bulanan) (Hektar),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,13865.52,19182.13,51639.22,48258.22,28268.68,11499.55,2206.68,16743.13,32261.5,38641.97,26016.71,18673.73,307257.03
SUMATERA UTARA,39636.92,82756.41,59725.29,33441.18,40633.32,49224.88,34184.77,52843.26,64702.2,36042.26,24479.17,22845.18,540514.85
SUMATERA BARAT,28406.64,32279.74,32645.05,19828.25,23601.95,28290.36,19673.19,18763.49,30595.71,18733.28,14842.79,16334.14,283994.6
RIAU,3679.52,7002.31,10976.51,4368.83,5208.01,6179.77,3290.07,4738.89,6002.01,4149.96,1937.89,2255.31,59789.07
JAMBI,5738.99,6258.4,7587.65,6919.21,5820.21,9148.44,3617.54,7402.07,12725.97,7893.96,3860.68,3931.59,80904.72
SUMATERA SELATAN,48338.21,82265.87,82189.41,68626.25,40055.54,45702.62,52227.56,71592.4,71315.72,35835.97,17761.19,18239.37,634150.11
BENGKULU,4728.46,3300.18,5762.55,7089.79,7883.55,3395.65,1261.04,1762.81,4332.41,3521.36,4465.04,5008.15,52510.99
LAMPUNG,4989.27,13669.89,73769.06,139262.75,66001.85,19251.02,19953.74,63574.39,107201.97,60736.98,17411.66,11444.85,597267.44
KEP. BANGKA BELITUNG,1364.1,2274.85,1548.77,2073.04,1425.56,744.34,144.63,2030.13,1594.68,1468.91,769.74,828.23,16266.98
KEP. RIAU,8.56,16.55,17.65,13.04,22.83,6.88,0,14.34,63.89,26.81,7.04,1.66,199.25
DKI JAKARTA,24.39,0,0,3.6,11.6,3.78,13.47,98.25,68.47,33.61,13.73,4.4,275.3
JAWA BARAT,62186.39,76932.74,209730.96,222637.25,188434.06,127431.93,186298.94,167966.42,124308.36,157701.27,139144.82,97377.29,1760150.45
JAWA TENGAH,34906.46,137299.91,335096.11,223138.01,94298.71,150616.49,207054.24,161730.89,116088.47,87508.52,69083.82,56190.28,1673011.89
DI YOGYAKARTA,6303.13,24454.65,17209.3,9740.25,6271.12,13822.07,8724,7667.15,2754.7,3714.27,3538.43,3778.4,107977.47
JAWA TIMUR,66160.11,101085.09,358236.41,314484.44,125787.47,146236.9,189024.64,152167.32,109558.85,99078.3,95450.84,81151.46,1838421.83
BANTEN,3759.02,25688.22,71996.91,54716.02,13186.4,12298.59,43728.17,53761.46,35683.3,16064.32,7757.87,9610.7,348250.98
BALI,7376.7,4694.85,8251.58,7116.69,14121.57,9947.08,7875.37,5871.08,6254.04,7365.22,9681.05,10535.95,99091.19
NUSA TENGGARA BARAT,5560.02,8742.89,43691.36,101660.02,40228.11,9560.86,27422.23,30167.87,17784.61,15118.15,11488.5,10774.41,322199.04
NUSA TENGGARA TIMUR,5483.58,2758.2,10515.76,31681.4,67067.11,33022.26,9469.19,5504.68,7135.74,15210.73,15250.34,9042.8,212141.79
KALIMANTAN BARAT,24659.25,45980.47,58182.32,27773.77,8926.26,10003.82,13393.67,17726.94,21395.55,19151.86,7451.7,8852.84,263498.44
KALIMANTAN TENGAH,658.63,7781.64,14948.45,7588.18,9421.61,3124.83,8175.42,20432.42,15587.98,6714.29,2210.96,438.89,97083.3
KALIMANTAN SELATAN,416.04,3438.88,11011.52,24424.17,31089.35,15306.77,22323.26,51426.48,65437.13,47999.5,14832.07,1528.76,289233.93
KALIMANTAN TIMUR,208.45,3722.76,16287.61,10522.63,2543.85,919.36,1723.39,8409.41,15334.63,4875.51,1208.66,845.25,66601.51
KALIMANTAN UTARA,1510.68,1885.35,1032.16,1355.05,638.81,491.15,556.78,152.48,915.68,942.79,251.3,319.6,10051.83
SULAWESI UTARA,3012,6015.66,7743.71,5649.95,5195.55,4881.46,3904.08,5003.81,6481.25,4574.24,3743.26,3794.75,59999.73
SULAWESI TENGAH,10026.77,16221.12,11866.85,19819.43,22243.99,21218.76,9171.03,5996.73,18042.19,32408.4,21183.87,10554.77,198753.91
SULAWESI SELATAN,12401.93,13189.2,123939.17,216318.13,96013.82,29218.57,32356.3,136845.34,209370.07,95767.36,54167.1,18447.73,1038034.74
SULAWESI TENGGARA,7400.88,7253.24,6075.43,17051.28,24597.52,12425.5,9227,12068.04,10237.69,26160.56,11104.92,9858.39,153460.46
