Provinsi,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Aceh,2079088,2112,...,33594,751551,168841,2,354,31,599,,30,,1051,28583,66983
Sumatera Utara,6068251,1063659,...,158842,1205220,478689,9873,2150,1438,3158,1236,706,983,9896,25497,650246
Sumatera Barat,1918049,743399,...,106404,932526,442617,6836,491,978,5160,2544,172,113,4999,109840,137794
Riau,429841,5801,...,318928,354347,355967,90014,6612,14644,13422,7821,4855,1987,181576,146503,400506
Jambi,926181,3011,...,84395,282882,246499,8725,2760,1137,14840,288,6823,5220,13201,11843,152547
Sumatera Selatan,945981,303710,...,596441,546417,1037291,7140,26473,7535,29091,18664,20721,12114,68940,35848,303038
Bengkulu,2487362,18970,...,450568,1081798,382460,7223,14779,177,742,703,11172,721,9347,45001,70651
Lampung,1684986,175118,...,5103999,653345,564787,67944,23323,14645,31711,9757,36267,19908,98333,20669,295278
Kepulauan Bangka Belitung,290349,1610,...,225691,266336,328210,,,,,,,,16110,43850,86803
Kepulauan Riau,19101,,...,5969,16737,26529,151,94,74,768,320,,,768,4910,30864
DKI Jakarta,1004,,...,428,490,868,31,658,593,512,282,18,20,67,80,40
Jawa Barat,14065325,32484486,...,5076258,7675010,2910707,49145,86828,7660,49374,12273,21666,151460,94358,214161,1169475
Jawa Tengah,15404067,21413218,...,8144208,9581677,3728023,271248,22100,12173,43082,59357,344414,153004,1991350,222353,797049
DI Yogyakarta,1962144,407753,...,886047,1144478,456164,256069,101820,2684,4697,13766,250092,141460,655956,6690,62032
Jawa Timur,18789872,3584558,...,1938832,49927696,4260240,781855,29218,41143,166221,317473,1249124,645604,6407947,644687,774812
Banten,1047916,139188,...,240215,269362,695504,55300,1611,1219,5063,2117,155,10725,1685,50094,92717
Bali,2270853,16,...,313875,670240,87914,,1027,,155,3,,2,3128,77,8533
Nusa Tenggara Barat,1948768,25780,...,219637,605662,196228,6252,2035,281,1029,54,1188,6097,43310,6085,14754
Nusa Tenggara Timur,829333,150,...,69880,498538,280365,210,2087,2108,1772,2210,1628,1017,107057,52383,101349
Kalimantan Barat,2804765,20974,...,264617,775496,317322,8661,428129,26764,131299,260,28636,29480,37106,33889,222256
Kalimantan Tengah,195471,700,...,73657,132048,153010,9317,1364,1138,2755,375,9574,283,14864,13705,76572
Kalimantan Selatan,2632816,110,...,1769789,1304908,435391,269,5,224,85,5,,105000,121863,25245,11511
Kalimantan Timur,235371,1747,...,24940,65316,84603,1041,1409,2255,2688,512,6404,1526,9205,109715,169253
Kalimantan Utara,243758,8,...,64464,79894,212662,27890,1520,,1500,,23616,25216,19159,41932,194819
Sulawesi Utara,442041,6,...,3285,176445,29117,,135,22,107,4,,,10311,1158,97179
Sulawesi Tengah,318087,12216,...,245631,183645,96342,5402,8718,1352,1787,4456,4149,1335,22420,96411,103915
Sulawesi Selatan,2179367,156,...,108829,3293921,737155,4471,443,469,1166,699,70,116,28898,160446,530294
Sulawesi Tenggara,291007,1482,...,106318,77469,97067,1091,1086,1484,3854,3806,3464,1736,22701,54226,154982
Gorontalo,8800,,...,287,7089,10,,,,,,125,,285,30,693
Sulawesi Barat,38680,20,...,11534,34811,24018,10143,,,1601,1001,1,,145,4410,22697
Maluku,305438,32300,...,133797,291795,57276,2613,1050,511,11,402,2000,700,447,77208,177392
Maluku Utara,440183,,...,18041,310312,164185,,2900,167,65,1000,2,,10632,15207,117638
Papua Barat,71930,,...,17356,81253,25889,317,333,,177,165,119,108,3211,3736,40492
Papua Barat Daya,15925,,...,10820,18970,1534,,500,,,150,,,1000,385,2037
Papua,35242,,...,19383,40467,43876,3080,530,3370,1630,2795,3070,1200,5760,21527,1718
Papua Selatan,,,...,,,,,,,,,,,,,
Papua Tengah,3408,850,...,2163,2300,3000,1200,380,520,605,470,800,600,930,,
Papua Pegunungan,1791,,...,,1676,1742,,,,,,,,,2180,1160
Indonesia,83432551,60443108,...,26849122,83342127,19132102,1693513,772922,146796,520726,464968,2031061,1317735,10018016,2330564,7140079
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
