Provinsi,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Aceh,1812923,380100,...,21422,455563,196106,,1798,419,140,1,1,,975,33979,134750
Sumatera Utara,4096910,3144577,...,111876,1367265,549450,4760,1728,1122,7368,723,554,972,5663,28831,573876
Sumatera Barat,1331597,605182,...,72716,707779,415265,754,2254,1056,2894,479,735,108,4381,142268,124558
Riau,365598,15709,...,261068,228344,918888,100935,17097,26683,6081,10404,3135,1750,133067,166069,537181
Jambi,741527,2466,...,76364,283034,275340,9146,791,1073,10485,262,10989,8284,16140,15540,306832
Sumatera Selatan,741766,10489,...,719086,466593,868930,4840,22812,2125,12341,12553,12481,6369,56722,13611,283493
Bengkulu,2659947,13645,...,278517,1091823,373439,5259,7734,317,371,711,1343,100,3965,10413,75765
Lampung,1732579,119252,...,4543773,447559,381423,38236,13949,3045,7487,5429,26804,17461,70095,30123,154312
Kepulauan Bangka Belitung,218009,365,...,241821,259306,230129,,,,,,,,18850,32967,157859
Kepulauan Riau,18447,,...,8707,20767,39576,433,2,211,360,482,60,125,1378,5711,36774
DKI Jakarta,758,10,...,381,449,722,62,884,404,562,413,35,65,89,270,145
Jawa Barat,14947639,37961824,...,4827355,9458263,3699581,23083,68669,8939,34523,14862,11147,429065,74611,207432,1220396
Jawa Tengah,16340413,17497664,...,6772343,10414374,3653743,224084,23737,7470,32319,38833,312501,112179,655900,174439,729718
DI Yogyakarta,2065240,313252,...,938525,1356405,436988,245167,95304,4235,4351,13681,427667,175481,1056725,21569,81763
Jawa Timur,15708843,3702872,...,1932609,37467084,3595312,459116,22681,59357,124775,182651,871589,612190,5908711,776763,723104
Banten,1078105,171040,...,299950,186192,465530,30645,408,617,10198,464,6617,359,8054,154291,49736
Bali,860961,12,...,345302,566513,41319,5,34607,,351,,,2,1943,88,16359
Nusa Tenggara Barat,393895,21358,...,9104,384651,99327,3296,1953,179,762,28,585,34714,14416,5314,67223
Nusa Tenggara Timur,904183,3,...,71826,396655,295206,,928,278,454,984,1437,921,52292,96578,173692
Kalimantan Barat,2960783,8569,...,218857,564756,424563,6541,365963,21032,26159,232,32993,36970,47540,29091,254253
Kalimantan Tengah,182930,1517,...,59532,105989,105508,8891,865,1125,2588,225,7790,214,13250,13258,66034
Kalimantan Selatan,1733580,725,...,878525,953595,271599,235,175,353,140,1,100,50000,111772,23212,30150
Kalimantan Timur,205553,1272,...,53770,81590,70329,769,1371,2227,3862,405,3678,1355,11831,149994,212612
Kalimantan Utara,213748,10,...,83274,111865,208347,19930,510,,755,,20271,12853,27455,49982,271856
Sulawesi Utara,382226,2,...,4065,169674,69247,3,589,52,131,200,,,25193,3661,184321
Sulawesi Tengah,189984,218,...,84808,140927,74165,3684,3061,2281,1045,4001,6672,358,15160,80747,92101
Sulawesi Selatan,2035611,255,...,88741,3380589,780062,5808,314,265,623,1481,37,67,25687,118211,566698
Sulawesi Tenggara,364455,515,...,92007,99951,81192,485,712,795,972,1871,5432,868,26652,68067,143585
Gorontalo,9480,,...,801,6476,26,,,,,,75,10,293,40,789
Sulawesi Barat,32782,111,...,12030,29872,20197,7091,,,2600,1900,,,419,5982,16865
Maluku,230771,,...,69634,225538,118148,1175,700,7,,352,1,,79,34245,148668
Maluku Utara,202135,,...,14670,161494,119714,,,,,1000,,,4600,11809,109177
Papua Barat,3224,360,...,2288,7046,2836,360,539,45,267,216,194,690,793,787,8731
Papua Barat Daya,11609,,...,5010,9344,9077,,,,,250,,,350,795,11559
Papua,143331,,...,138020,128115,331063,1680,580,3370,100,2860,2700,,4285,71515,226655
Papua Selatan,572,,...,,236,200,,,,,,,,,35,
Papua Tengah,,,...,,,,,,,,,,,,,
Papua Pegunungan,,,...,,,,,,,,,,,,,
Indonesia,74922114,63973374,...,23338777,71735676,19222547,1206473,692715,149082,295064,297954,1767623,1503530,8399336,2577687,7791590
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
