38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Jagung Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2023,2023,2023
ACEH,11728.37,56.58,66363.62
SUMATERA UTARA,211105.36,63.63,1343290.59
SUMATERA BARAT,79630.77,62.19,495223.45
RIAU,216.35,31.83,688.71
JAMBI,781.46,60.46,4724.77
SUMATERA SELATAN,46247.92,61.55,284643.31
BENGKULU,7900.85,63.82,50421.07
LAMPUNG,166215.32,66.4,1103640.11
KEP. BANGKA BELITUNG,23.25,47.87,111.3
KEP. RIAU,2.07,50.48,10.45
DKI JAKARTA,0,0,0
JAWA BARAT,76901.39,75.06,577185.49
JAWA TENGAH,371046.77,58.6,2174484.3
DI YOGYAKARTA,40056.38,54.31,217545.73
JAWA TIMUR,759060.89,63.18,4795780.82
BANTEN,1920.27,74.82,14367.12
BALI,9277.78,50.55,46901.81
NUSA TENGGARA BARAT,179029.73,71.55,1281035.02
NUSA TENGGARA TIMUR,101512.09,25.8,261854.94
KALIMANTAN BARAT,15099.14,43.88,66248.12
KALIMANTAN TENGAH,5935.59,42.93,25482.89
KALIMANTAN SELATAN,18382.82,61.01,112150.44
KALIMANTAN TIMUR,1867.63,60.12,11228.48
KALIMANTAN UTARA,170.45,50.24,856.42
SULAWESI UTARA,25262.2,32.87,83046.33
SULAWESI TENGAH,18002.68,40.54,72981.58
SULAWESI SELATAN,181800.85,56.41,1025516.26
SULAWESI TENGGARA,18987.59,36.61,69512.45
GORONTALO,114355.96,46.16,527923.15
SULAWESI BARAT,5617.09,51.8,29097.91
MALUKU,2357.12,32.51,7663.29
MALUKU UTARA,1612.53,42.61,6870.64
PAPUA BARAT,735,45.05,3311.21
PAPUA BARAT DAYA,274.82,51.39,1412.21
PAPUA,798.27,42.95,3428.88
PAPUA SELATAN,15.32,45.16,69.18
PAPUA TENGAH,2092.54,43.4,9081.61
PAPUA PEGUNUNGAN,66.31,42.05,278.85
INDONESIA,2476090.93,59.67,14774432.52
