38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2023,2023,2023
ACEH,254287.38,55.22,1404234.82
SUMATERA UTARA,406109.49,51.4,2087474.15
SUMATERA BARAT,300564.77,49.32,1482468.79
RIAU,51914.14,39.68,205972.55
JAMBI,61236.64,45.06,275941.45
SUMATERA SELATAN,504143.03,56.19,2832773.92
BENGKULU,57877.18,49.53,286684.43
LAMPUNG,530108.09,52.03,2757898.19
KEP. BANGKA BELITUNG,15284.56,43.49,66468.89
KEP. RIAU,115.27,28.11,324.01
DKI JAKARTA,542.93,49.26,2674.28
JAWA BARAT,1583656.28,57.71,9140039.2
JAWA TENGAH,1642761.23,55.3,9084107.53
DI YOGYAKARTA,105693.66,50.53,534113.69
JAWA TIMUR,1698083.31,57.19,9710661.33
BANTEN,311199.73,54.19,1686483.29
BALI,108514.06,62.07,673580.65
NUSA TENGGARA BARAT,287512.14,53.51,1538536.92
NUSA TENGGARA TIMUR,184698.89,41.52,766810.46
KALIMANTAN BARAT,224068.52,31.25,700290.8
KALIMANTAN TENGAH,101580.3,32.56,330781.05
KALIMANTAN SELATAN,214283.82,40.86,875545.73
KALIMANTAN TIMUR,57082.01,39.76,226972.07
KALIMANTAN UTARA,6499.92,36.31,23602
SULAWESI UTARA,54562.95,43.65,238193.41
SULAWESI TENGAH,177699.03,46.22,821367.41
SULAWESI SELATAN,967790.21,50.39,4876386.11
SULAWESI TENGGARA,113930.26,42.08,479407.25
GORONTALO,49610.47,50.68,251431.76
SULAWESI BARAT,58606.67,49.73,291458.59
MALUKU,22636.68,35.32,79958.34
MALUKU UTARA,7709.07,34.59,26663.23
PAPUA BARAT,5006.27,45.08,22566.81
PAPUA BARAT DAYA,579.83,41.34,2396.95
PAPUA,840.18,44.76,3760.45
PAPUA SELATAN,44807.86,40.98,183627.83
PAPUA TENGAH,2094.2,44.28,9273.22
PAPUA PEGUNUNGAN,14.14,43.59,61.63
INDONESIA,10213705.17,52.85,53980993.19
