38 Provinsi,,,,,,,,,,,,,
,Produksi Padi Menurut Provinsi (Bulanan) (Ton),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,71061.29,105254.72,294608.47,281119.38,159158.95,62726.81,12074.69,93899.42,189355.03,223382.43,153353.51,105151.28,1751145.98
SUMATERA UTARA,194014.9,404718.92,314988.21,179663.78,199994.75,246094.52,173992.5,277021.17,326931.35,197634.97,121595.68,104947.23,2741597.98
SUMATERA BARAT,141426.58,157807.91,162064.93,98223.19,109132.17,131014.43,92412.45,85163.51,144649.6,92583.71,72940.27,79843.35,1367262.1
RIAU,15184.25,26669.73,43973.22,17391.92,16280.87,19302.66,10277.69,15284.53,23908.15,16361.02,7784.03,8999.72,221417.79
JAMBI,27546.67,26998.74,34681.74,32435.29,28690.84,44505.77,17471.96,34216.32,53608.06,31319.16,18034.85,17643.5,367152.9
SUMATERA SELATAN,285763.38,481589.69,497610.16,409899.34,209159.39,220221,266394.11,406297.65,398036.1,201264.69,101322.09,108774.57,3586332.17
BENGKULU,26568.3,17809.46,28679.14,35793.94,40327,16804.4,6220.54,8315.96,20330.36,17255.74,22367.8,27296.44,267769.08
LAMPUNG,28887.67,72162.32,409151.64,797741.17,349397.3,100104.48,100556.7,334905.46,553699.68,306260.19,87405.36,59364.79,3199636.76
KEP. BANGKA BELITUNG,3635.76,5379.57,7376.83,10578.49,6403.23,2447.85,504.34,8078.85,6836.61,6612.41,2715.4,2273.59,62842.93
KEP. RIAU,21.4,41.37,45.15,32.59,59.88,19.45,0,38.84,205.32,86.18,22.59,5.31,578.08
DKI JAKARTA,112.87,0,0,16.94,60.76,19.78,73.28,524.11,369.64,184.08,77.9,24.03,1463.39
JAWA BARAT,362854.42,445035.71,1219278.69,1313909.97,1101292.03,716294.78,1032170.75,935039.53,737271.71,963813.78,841375.67,578777.2,10247114.24
JAWA TENGAH,194648.97,798789.24,1948745.59,1268755.61,474734.76,790385.24,1073061.21,824745.45,704685.36,554548.93,422861.87,341941.34,9397903.57
DI YOGYAKARTA,35465.86,120952.63,90075.92,54072.56,30314.74,65598.6,43050.37,38641.79,14791.27,19902.11,19181.73,20515.45,552563.03
JAWA TIMUR,384669.75,573704.28,2041229.45,1818524.03,695167.62,779086.12,1012403.21,824728.65,689839.53,620232.59,591850.61,499749.96,10531185.8
BANTEN,20822.2,138714.14,398689.8,296544.83,63718.93,59061.13,206875.23,257750.35,188749.2,85225.99,40578.65,49663.53,1806393.98
BALI,43254.85,28914.99,50079.95,42779.62,83054.26,59620.41,46824.21,34029.16,40118.64,49375.19,64757.57,69275.9,612084.75
NUSA TENGGARA BARAT,30383.69,47042.31,236155.28,547871.06,212708.51,49711.51,137765.57,152116.37,91252.84,79113.01,56676.02,53511.5,1694307.67
NUSA TENGGARA TIMUR,25426.28,11976.25,39954.83,129798.5,318001.16,155233.46,44792.87,25130.55,31146.59,67106.13,68026.02,40238.95,956831.59
KALIMANTAN BARAT,73972.99,127772.42,150071.42,79395.37,27449.44,28913.34,40140.87,56775.7,71627.18,64003.81,24179.24,29059.62,773361.4
KALIMANTAN TENGAH,2750.81,29056.09,58788.41,27754.75,28988.41,8886.56,27730.77,72384.59,44914.42,19648.64,7718.61,1429.45,330051.51
KALIMANTAN SELATAN,1948.01,14896.22,47338.4,110371.16,132255.51,65468.49,88292.98,197491.64,247577.86,200575.32,65080.99,6563.55,1177860.13
KALIMANTAN TIMUR,868.03,14992.79,67395.43,41772.72,9224.04,3504.53,6375.5,29618.88,69512.44,21038.95,4730.17,3359.16,272392.64
KALIMANTAN UTARA,5645.8,7094.56,3870.9,4825.34,2128.8,1932.71,2137.35,663.65,3487.28,3121.96,939.75,1157.28,37005.38
SULAWESI UTARA,13119.18,26146.91,31472.86,23636.19,23262.54,22098.4,17998.55,22203.37,28911.71,21530.39,17602.78,17707.21,265690.09
SULAWESI TENGAH,46408.42,77654.92,54388.72,90869.43,96235.86,98549.73,40948.47,25823.01,82079.48,146527.43,96982.98,47992.34,904460.79
SULAWESI SELATAN,60216.52,64021.51,645288.26,1163517.98,508714.87,154905.16,158085.54,664930.67,1040668.28,526987.55,308074.94,102611.37,5398022.65
