Provinsi,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg)
Aceh,4345136,4068,...,91805,2384875,776506,6,540,1438,4331,,90,,13339,388414,561391
Sumatera Utara,16637643,2759164,...,1500313,3594877,931247,27752,5479,37407,9007,3288,1847,2493,27180,418848,4486007
Sumatera Barat,5473718,1872172,...,190612,2260163,1240713,11997,2577,40845,30523,916,204,125,8804,1902401,821993
Riau,1070335,8752,...,722104,1414919,1189048,161093,20705,212800,35487,24838,12297,10175,610079,1644637,2249462
Jambi,2508430,8536,...,128105,623398,694404,14779,7114,45246,886689,1690,12834,9201,29472,194417,1036152
Sumatera Selatan,2241128,59730,...,1463757,1472517,2644358,11655,115335,157450,34392,44973,100510,48010,225682,333726,2397090
Bengkulu,16879563,43249,...,669497,5458374,1533213,6028,29723,2780,1510,1069,8196,888,17838,354772,464754
Lampung,2825270,246620,...,6042319,1479313,1183187,106751,76097,391531,140972,18570,76444,39485,196860,345345,2136402
Kepulauan Bangka Belitung,762841,2310,...,491764,660763,1023903,,,,,,,,36090,545823,532337
Kepulauan Riau,39340,,...,8599,29401,63575,176,172,1296,1304,995,,,1542,60102,172073
DKI Jakarta,1937,,...,443,939,1725,33,5743,14540,2012,813,28,48,114,460,213
Jawa Barat,39976740,75387335,...,15248833,22447402,15967432,152777,264898,221068,1005409,28898,34641,1143424,195067,4944033,7615985
Jawa Tengah,33302216,34545990,...,9895354,20568314,9349170,583636,63479,308778,228355,72498,745644,293373,3022592,4328636,5265770
DI Yogyakarta,4821591,905036,...,2697539,3539394,1161345,561783,851232,96305,74764,67154,573138,296981,1569671,147649,498736
Jawa Timur,29162669,6080973,...,3190427,113283709,9732999,1760233,187236,1964942,1304654,400401,2194243,981397,17320203,23702344,4846523
Banten,793604,85636,...,217419,310674,772868,94883,3761,28932,8041,3941,330,8342,3228,279292,440562
Bali,8340720,48,...,499233,2221772,671614,,2038,,1078,2,,4,6299,2658,57305
Nusa Tenggara Barat,2383397,178316,...,153614,530302,395903,14594,8957,7023,10268,209,3340,8456,104189,110445,134830
Nusa Tenggara Timur,1384763,750,...,106600,1243534,692058,289,1431,28310,2788,2138,1975,1299,210264,735864,742238
Kalimantan Barat,5162851,14500,...,410186,1269217,507741,16283,2324114,705280,144992,553,38901,62924,101719,461656,1256956
Kalimantan Tengah,452657,421,...,118032,264465,306180,13686,1548,44390,6174,291,10177,724,23353,194401,367423
Kalimantan Selatan,3153927,249,...,2463810,1525833,618517,225,10,2688,52,12,,155000,237771,236676,47247
Kalimantan Timur,539284,6009,...,44118,125183,197238,3294,19285,166912,165362,1053,34480,2577,27154,1777881,717056
Kalimantan Utara,762686,15,...,142095,267431,1197173,57257,1940,,1040,,50727,49446,43952,618309,957127
Sulawesi Utara,1432905,13,...,3745,450603,70394,,427,300,33,2,,,16191,21791,422703
Sulawesi Tengah,1080228,56090,...,461321,745370,301419,6597,34286,111752,36571,5507,7391,3114,114087,1985518,1012312
Sulawesi Selatan,8311368,535,...,225758,14546000,3099114,28165,2910,13221,8026,2585,333,455,61859,4074984,5000852
Sulawesi Tenggara,1014742,5497,...,210670,279362,341764,3590,2307,50695,13623,4643,5539,4979,37917,1458401,1043907
Gorontalo,25556,,...,548,16723,20,,,,,,225,,432,150,2079
Sulawesi Barat,84507,96,...,32756,94810,83380,16292,,,4510,1722,10,,295,85514,146385
Maluku,890873,87765,...,306397,790069,294478,7700,2825,6192,15,1214,6000,1600,1524,815707,2847996
Maluku Utara,2719584,,...,87132,1499445,1021490,,2276,5596,96,12450,7,,32375,759874,1553723
Papua Barat,59816,,...,24099,164764,49379,1986,1650,,1168,359,592,415,14366,66852,243988
Papua Barat Daya,12757,,...,7250,18302,2897,,500,,,95,,,2950,3760,7093
Papua,214446,,...,32580,70265,68304,4128,1400,106800,5360,5243,5269,1550,11520,364353,9179
Papua Selatan,,,...,,,,,,,,,,,,,
Papua Tengah,1828,230,...,1556,1867,2196,1342,290,10080,221,228,837,360,949,,
Papua Pegunungan,2281,,...,,1734,2176,,,,,,,,,11693,4973
Indonesia,198873337,122360105,...,47890390,205656083,58189128,3669010,4042285,4784597,4168827,708350,3926249,3126845,24326927,53377386,50100822
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
