Provinsi,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg)
Aceh,3100934,119720,...,47407,1338127,809601,,2772,6311,1740,2,5,,5775,259961,883911
Sumatera Utara,11167258,2047954,...,813166,4551901,1068672,7906,6427,32801,11072,2523,1457,4436,14722,873844,3929647
Sumatera Barat,4559711,1982703,...,121294,1939146,1535742,2529,15741,53134,28880,634,988,500,16999,2630589,697519
Riau,1023760,24328,...,584908,564872,1529266,404871,26924,664403,30741,13461,8480,7612,276581,2221805,4381187
Jambi,2197490,5074,...,169577,613303,837974,16811,3406,37683,398055,1478,19646,13844,24369,213191,1384179
Sumatera Selatan,2249096,8505,...,1697313,1673159,2781927,10843,32264,61643,27169,13344,32469,20146,64616,181630,1280649
Bengkulu,20216217,65987,...,690627,5794202,1729757,3856,19728,6438,1078,688,3301,200,10866,99456,562951
Lampung,3006568,138547,...,6256762,871254,777733,63146,74841,79615,71848,11692,80325,68514,162585,333215,887969
Kepulauan Bangka Belitung,362789,245,...,263558,348417,402957,,,,,,,,29205,560728,643934
Kepulauan Riau,25186,,...,14303,26730,78921,714,5,3012,5570,1971,150,223,2260,71443,195029
DKI Jakarta,1284,2,...,391,522,1131,40,4553,5521,2635,670,23,32,70,1405,471
Jawa Barat,48774309,89945587,...,15079000,27728801,29599607,46435,178237,206842,609361,21083,9067,1479626,222489,3558661,9146681
Jawa Tengah,28644043,27528267,...,7979213,25186062,10385087,465650,81580,219183,307464,104598,852137,284089,1401545,5311845,4357086
DI Yogyakarta,4959336,185319,...,2698744,4046392,1119918,536785,775649,120946,71710,67018,686320,312464,1642911,438004,693889
Jawa Timur,28760163,5421615,...,3799612,78000636,12385411,1170840,64237,956923,934541,127958,2653969,1410776,14395326,28379935,4530553
Banten,1332872,214663,...,628950,582340,462114,129149,1552,18378,28604,1145,10118,705,11758,1539041,238742
Bali,2126287,42,...,489609,1491750,99115,34,35207,,1761,,,2,3728,2919,56990
Nusa Tenggara Barat,1101250,221977,...,32122,1397840,343296,7546,8859,5458,6474,130,2066,74195,28646,95563,279774
Nusa Tenggara Timur,1501738,4,...,135366,934954,872110,,1048,5487,622,1222,4010,3199,130046,825908,1045198
Kalimantan Barat,4872608,8063,...,437193,886656,711111,21952,2351619,648299,113810,551,63085,53622,92913,475088,1478601
Kalimantan Tengah,307967,479,...,79809,218511,235257,8093,1181,34620,4379,181,8888,646,16106,239833,325046
Kalimantan Selatan,1967758,1785,...,1133320,1015184,334475,184,813,4709,346,5,60,61000,127780,420340,105877
Kalimantan Timur,422888,1760,...,79795,197891,229292,2623,4832,61823,60912,482,20061,4806,45252,2424904,1319321
Kalimantan Utara,1183947,16,...,252391,501704,1174835,61773,1507,,15490,,54330,47750,74023,1055221,1543546
Sulawesi Utara,1183249,3,...,14447,421226,200773,6,3446,722,116,275,,,104846,54910,1100364
Sulawesi Tengah,789363,130,...,352037,470317,397235,5831,28010,136022,34163,6815,14343,582,84595,895776,870108
Sulawesi Selatan,9970489,1463,...,225089,13259607,2824631,22510,2592,9425,6958,4363,301,448,70221,3523656,3782743
Sulawesi Tenggara,1046329,1330,...,174375,262405,188229,1428,1390,21336,7907,2851,11164,1330,65519,687261,593653
Gorontalo,10400,,...,1549,7738,52,,,,,,248,30,821,350,2382
Sulawesi Barat,98995,663,...,57175,104483,116676,11905,,,9266,2820,,,1385,158894,146588
Maluku,602872,,...,150379,980892,632993,6178,5413,289,,1128,1,,684,404500,1152589
Maluku Utara,2101533,,...,117892,1449936,1396652,,,,,8300,,,34994,622132,2244570
Papua Barat,11907,501,...,8244,51004,23381,2702,2832,3345,2597,268,884,1287,2897,28702,125852
Papua Barat Daya,8759,,...,3026,9060,8022,,,,,75,,,285,5023,53506
Papua,567600,,...,364692,655131,1682053,2790,655,93800,50,3260,5270,,9425,1551010,1521762
Papua Selatan,512,,...,,371,200,,,,,,,,,627,
Papua Tengah,,,...,,,,,,,,,,,,,
Papua Pegunungan,,,...,,,,,,,,,,,,,
Indonesia,190257467,127926732,...,44953335,177582524,76976206,3015130,3737320,3498168,2795319,400991,4543166,3852064,19176243,60147370,51562867
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
